path,product_title,price,size,color,SKU,Description,Category,thumbnail
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing,Elisa EverCool™ Tee,£29.00,"XS, S, M, L, XL","Gray, Purple, Red",WS06,"When rising temps threaten to melt you down, Elisa EverCool™ Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.,• Purple heather v-neck tee.,• Short-Sleeves.,• Luma EverCool™ fabric. ,• Machine wash/line dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws06-purple_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Promotions/Women Sale|Clothing/Collections/Eco Friendly|Clothing,Electra Bra Top,£39.00,"XS, S, M, L, XL","Black, Gray, Purple",WB01,"A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.,• Gray rouched bra top.,• Attractive back straps feature contrasting motif fabric.,• Interior bra top is lined with breathable mesh.,• Elastic underband for superior support.,• Removable cup inserts.,• Chafe-free flat lock seams provide added comfort.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb01-gray_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing,Echo Fit Compression Short,£24.00,"28, 29, 30, 31, 32","Black, Blue, Purple",WSH07,"Your muscles know it’s go time the second you pull on the Echo Fit Compression Short. A balance of firm, stimulating squeeze with breathability, it offers the support and comfort you need to give it your all.,• Black compression shorts.,• High-waisted cut.,• Compression fit.,• Inseam: 1.0″. ,• Machine wash/dry.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh07-black_main-600x744.jpg
Home/Gear/Fitness Equipment|Collections/Erin Recommends,Dual Handle Cardio Ball,£12.00,,,24-UG07,"Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.",Erin Recommends,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug07-bk-0-600x744.jpg
Home/Gear/Bags,Driven Backpack,£36.00,,,24-WB03,"School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it’s outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb03-purple-0-600x744.jpg
Home/Gear/Watches|Collections/New Luma Yoga Collection,Didi Sport Watch,£92.00,,,24-WG02,"The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.",New Luma Yoga Collection,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg02-bk-0-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing,Diva Gym Tee,£32.00,"XS, S, M, L, XL","Green, Orange, Yellow",WS11,"The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it’s a casual staple that hides incredible comfort behind a laid-back, carefree look.,• Bright yellow v-neck tee.,• Moisture-wicking fabric. ,• Long-Sleeves. ,• Machine wash/line dry.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws11-yellow_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing,Diana Tights,£59.00,"28, 29","Black, Blue, Orange",WP06,"Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you’ll feel like anything is possible in the capri-style Diana Tights.,• Black legging with slate details.,• Flat-lock, chafe-free side seams.,• Vented gusset.,• Secret interior pocket.,• Sustainable and recycled fabric.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp06-black_main-600x744.jpg
Home/Clothing/Men/Tops/Tanks,Helios Endurance Tank,£32.00,"XS, S, M, L, XL",Blue,MT04,"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.,• Blue heather tank with gray pocket.,• Contrast sides and back inserts.,• Self-fabric binding at neck and armholes. ,• Machine wash/dry.",Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt04-blue_main-600x744.jpg
Home/Clothing/Men/Tops/Tees|Clothing/Collections/Eco Friendly|Clothing,Helios EverCool™ Tee,£24.00,"XS, S, M, L, XL","Black, Blue, Purple",MS05,"Pumping iron or dialing the track, you’ve got cool comfort on your side in our short-sleeve Helios EverCool™ Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.,• Teal quick dry tee.,• Relaxed fit. ,• Crew neckline. ,• Machine wash/dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms05-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/New Luma Yoga Collection|Clothing,Helena Hooded Fleece,£55.00,"XS, S, M, L, XL","Blue, Gray, Yellow",WH10,"Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.,Full zip. ,Banded cuffs and waist. ,Front pockets. ,Machine wash/dry.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh10-gray_main-600x744.jpg
Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/Performance Fabrics|Clothing,Hawkeye Yoga Short,£29.00,"32, 33, 34, 36","Black, Blue, Gray",MSH05,"What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.,• Dark gray shorts with red accents.,• 92% Organic Cotton 8% Spandex.,• Breathable stretch organic cotton.,• Medium=8.0″ (21.0cm) inseam.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh05-gray_main-600x744.jpg
Home/Gear/Fitness Equipment,Harmony Lumaflex™ Strength Band Kit,£22.00,,,24-UG03,Forget fancy machines and costly memberships – the Harmony Lumaflex™ Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.,Fitness Equipment,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug03-bk-0-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing,Gwyn Endurance Tee,£24.00,"XS, S, M, L, XL","Black, Green, Yellow",WS01,"When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.,• Short-Sleeves.,• Machine wash/line dry.",Tees|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws01-black_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing,Gwen Drawstring Bike Short,£50.00,"28, 29, 30, 31, 32","Blue, Gray, Orange",WSH03,"For a completely modern style with moisture-wicking CoolTech™ technology, try the Gwen Drawstring Bike Short. Subtle grays and eye catching stitching combine with an adjustable waist for the perfect look and fit.,• Dark heather gray rouched bike shorts.,• Fitted. Inseam: 2″. ,• Machine wash/dry.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh03-gray_main-600x744.jpg
Home/Gear/Fitness Equipment|Collections/New Luma Yoga Collection,Go-Get’r Pushup Grips,£19.00,,,24-UG05,"The Go-Get’r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.",New Luma Yoga Collection,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ug05-gr-0-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Grayson Crewneck Sweatshirt,£64.00,"XS, S, M, L, XL","Orange, Red, White",MH11,"The Grayson Crewneck Sweatshirt gives you that ageless, classic look – a style that comes back around nearly every season. What’s more, its performance and temp-control values are always in vogue.,• Cream crewneck sweatshirt with black accents.,• 80% cotton/20% polyester fleece. ,• Patterned knit hood lining. ,• Knit cuffs and waist. ,• Pouch pocket. ,• Curl edged seam detail",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh11-white_main-600x744.jpg
Home/Gear/Bags,Fusion Backpack,£59.00,,,24-MB02,"With the Fusion Backpack strapped on, every trek is an adventure – even a bus ride to work. That’s partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mb02-gray-0-600x744.jpg
Home/Clothing/Men/Tops/Tees,Gobi HeatTec® Tee,£29.00,"XS, S, M, L, XL","Black, Orange, Red",MS04,"When the training gets intense, the Gobi HeatTec® Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that’s sure to keep you moving.,• Orange micropolyester shirt.,• HeatTec® wicking fabric.,• Crew neckline. ,• Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms04-orange_main-600x744.jpg
Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing,Geo Insulated Jogging Pant,£51.00,"32, 33, 34, 36","Blue, Green, Red",MP03,"In the cold, even the toughest guys shiver, unless they’re in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.,• Black polyester spandex pants with zipper pockets.,• Reflective safety accents. ,• Loose fit.,• On-seam pockets. ,• 8″ leg zips. 32″ inseam. ,• Machine wash/dry.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp03-black_main-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing,Gabrielle Micro Sleeve Top,£28.00,"XS, S, M, L, XL","Blue, Green, Red",WS02,"Luma’s most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.,• Lime green v-neck tee.,• Slimming, flattering fit.,• Moisture-wicking, quick-drying, anti-microbial, and anti-odor construction.,• Longer curved hem provides additional coverage.,• 55% Hemp / 45% Organic Cotton.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws02-green_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing,Frankie  Sweatshirt,£60.00,"XS, S, M, L, XL","Green, White, Yellow",MH04,"The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.,• Light green crewneck sweatshirt.,• Hand pockets.,• Relaxed fit.,• Machine wash/dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh04-green_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing,Fiona Fitness Short,£29.00,"28, 29, 30, 31, 32","Black, Green, Red",WSH01,"Don’t let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.,• Black run shorts ,– cotton/spandex.,• 5” inseam.,• Machine wash/Line dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh01-black_main-600x744.jpg
Home/Clothing/Men/Tops/Tanks,Erikssen CoolTech™ Fitness Tank,£29.00,"XS, S, M, L, XL","Gray, Orange, Red",MT01,"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech™ Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.,• Red performance tank.,• Slight scoop neckline. ,• Reflectivity. ,• Machine wash/dry.",Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt01-red_main-600x744.jpg
Home/Gear/Bags,Joust Duffle Bag,£34.00,,,24-MB01,"The sporty Joust Duffle Bag can’t be beat – not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it’s ideal for athletes with places to go.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mb01-blue-0-600x744.jpg
Home/Clothing/Men/Tops/Jackets|Clothing/Collections/Eco Friendly|Clothing,Jupiter All-Weather Trainer,£56.99,"XS, S, M, L, XL","Blue, Green, Purple",MJ06,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.,• Relaxed fit. ,• Hand pockets. ,• Machine wash/dry.,• Reflective safety trim.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj06-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing,Juliana Short-Sleeve Tee,£42.00,"XS, S, M, L, XL","Black, White, Yellow",WS07,"The Juliana Short-Sleeve Tee gives you more than sporty style. Consider that its soft Cocona® polyester fabric accelerates evaporation to help keep you dry and comfortable, too. And a selection of colors lets you get more than one.,• Black scoop neck tee.,• Side rouching.,• Relaxed fit.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws07-black_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing,Juno Jacket,£77.00,"XS, S, M, L, XL","Blue, Green, Purple",WJ06,"On colder-than-comfortable mornings, you’ll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona® technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.,• Adjustable hood.• Fleece-lined, zippered hand pockets.• Thumbhole cuffs.• Full zip.• Mock-neck collar.• Machine wash/dry.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj06-purple_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing,Josie Yoga Jacket,£56.25,"XS, S, M, L, XL","Black, Blue, Gray",WJ02,"When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech™ fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.,• Slate rouched neck pullover.,• Moisture-wicking fabric.,• Hidden zipper.,• Mesh armpit venting.,• Dropped rear hem.",Women Sale|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj02-gray_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets|Clothing/Collections/Erin Recommends|Clothing,Jade Yoga Jacket,£32.00,"XS, S, M, L, XL","Blue, Gray, Green",WJ09,"If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.,• Seafoam 1/4 zip pullover with purple stitching.,• Lightweight, quick-drying, water-resistant construction.,• Shirred details at front and back for a feminine look.,• Hood collapses into collar.,• Mesh liner for breathability.,• Front zip pockets.,• Hem cinches at sideseam.,• 100% Polyester.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj09-green_main-600x744.jpg
Home/Gear/Bags,Impulse Duffle,£74.00,,,24-UB02,"Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you’ll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ub02-black-0-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing,Ina Compression Short,£49.00,"28, 29, 30, 31, 32","Blue, Orange, Red, Green, Purple",WSH11,"One of Luma’s most popular items, the Ina Compression Short has you covered with exceptional support and comfort, whether you’re running the trail, riding a bike or ripping out reps. The ventilating fabric offers cool relief and prevents irritating chafing.,• Royal blue bike shorts.,• Compression fit. ,• Moisture-wicking. ,• Anti-microbial. ,• Machine wash/dry.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh11-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/Performance Fabrics|Clothing,Iris Workout Top,£29.00,"XS, S, M, L, XL","Blue, Green, Red",WS03,"The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.,• Pink heather rouched v-neck.,• Scoop neckline.,• Angled flat seams.,• Moisture wicking.,• Body skimming.,• 83% Polyester / 11% TENCEL® Lyocell / 6% Lycra® Spandex.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws03-red_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing,Ingrid Running Jacket,£84.00,"XS, S, M, L, XL","Orange, Red, White",WJ04,"The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. ,• Slim fit. ,• Moisture-wicking fabric. ,• Two side pockets. ,• Zippered pocket at back waist. ,• Machine wash/dry.,• Ivory specked full zip",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj04-white_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing,Ida Workout Parachute Pant,£48.00,,"Black, Blue, Purple",WP03,"The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.,• Royal blue parachute pants.,• Contrast stripe.,• Relaxed fit. ,• Drawstring closure.,• Machine wash/dry.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp03-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Jackets,Inez Full Zip Jacket,£59.00,"XS, S, M, L, XL","Orange, Purple, Red",WJ07,"The Inez Full Zip jacket is more than a cute layer. It’s a full-on tech wonder you’ll use for outdoor, pre and post workout. You’ll love how the highlighted zipper and sleeve safety trim protect and catch looks.,• Purple heather inset full zip jacket.,• Full zip hoodie.,• Contrast binding along the zipper, hood and sleeves.,• Inseam pockets for storage.,• Thumbholes for comfortable fit.",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj07-purple_main-600x744.jpg
Home/Clothing/Men/Tops/Jackets,Hyperion Elements Jacket,£51.00,"XS, S, M, L, XL","Green, Orange, Red",MJ02,"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech™ insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.,• Lime 1/4 zip pullover.,• Split pocket. ,• Thumb holes. ,• Machine wash/hang to dry.",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj02-green_main-600x745.jpg
Home/Gear/Watches,Luma Analog Watch,£43.00,,,24-WG09,"Designed to stand up to your active lifestyle, this women’s Luma Analog Watch features a tasteful brushed chrome finish and a stainless steel, water-resistant construction for lasting durability.",Watches,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg09-gr-0-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Promotions/Women Sale|Clothing,Maxima Drawstring Short,£28.00,"28, 29, 30, 31, 32","Gray, Orange, Yellow",WSH02,"Even laid-back women like to stay stylish, and that’s just what the Maxima Drawstring Short delivers. An elastic waist keeps the fit flexible, on the deck at home or on a trail walk. Sporty tennis flair adds an athletic accent.,• Light gray run shorts ,– cotton polyester. ,• Contrast binding. ,• 3″ inseam. ,• Machine wash/dry.",Women Sale|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh02-gray_main-600x744.jpg
Home/Clothing/Men/Tops/Jackets,Mars HeatTech™ Pullover,£66.00,"XS, S, M, L, XL","Black, Orange, Red",MJ10,"The Mars HeatTech™ Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.,• Red 1/4 zip pullover.,• Adjustable VELCRO® sleeve cuffs. ,• Two hand pockets. ,• Napoleon pocket. ,• Machine wash/dry",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj10-red_main-600x745.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Marco Lightweight Active Hoodie,£74.00,"XS, S, M, L, XL","Blue, Green, Lavender",MH13,"For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona® fibers pull moisture away.,• Light blue heather full zip hoodie.,• Fitted flatlock seams.,• Matching lining and drawstring. ,• Machine wash/dry.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh13-blue_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Mach Street Sweatshirt,£62.00,"XS, S, M, L, XL","Black, Blue, Red",MH10,"From hard streets to asphalt track, the Mach Street Sweatshirt holds up to wear and wind and rain. An infusion of performance and stylish comfort, with moisture-wicking LumaTech™ fabric, it’s bound to become an everyday part of your active lifestyle,• Navy heather crewneck sweatshirt.,• LumaTech™ moisture-wicking fabric.,• Antimicrobial, odor-resistant.,• Zip hand pockets.,• Chafe-resistant flatlock seams.,• Rib-knit cuffs and hem.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh10-blue_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts,Hollister Backyard Sweatshirt,£52.00,"XS, S, M, L, XL","Green, Red, White",MH05,"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you’re raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.,• Cream crewneck sweatshirt with navy sleeves/trim.,• Relaxed fit. ,• Ribbed cuffs and hem. ,• Machine wash/dry.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh05-white_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks,Lucia Cross-Fit Bra,£39.00,"XS, S, M, L, XL","Black, Orange, Purple",WB05,"Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.,• Black/white bra top. ,• Criss-cross back design. ,• Machine wash/dry.",Bras & Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb05-black_main-600x744.jpg
Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing,Lono Yoga Short,£32.00,"32, 33, 34, 36","Blue, Gray, Red",MSH06,"Some shorts are “all-purpose,” while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.,• Dark gray shorts with mesh accents.,• Ultra flexible four-way stretch.,• Flatlock seams and waistband.,• Two pockets, phony fly.,• Nylon/Lycra outer, Polyester/Lycra inner.",New Luma Yoga Collection|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh06-gray_main-600x744.jpg
Home/Clothing/Men/Tops/Tees,Logan  HeatTec® Tee,£24.00,"XS, S, M, L, XL","Black, Blue, Red",MS10,"Soft and lightweight, the Logan HeatTec® Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.,• Semi-fitted. ,• Crew neckline. ,• Machine wash/tumble dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms10-blue_main-600x745.jpg
Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing,Livingston All-Purpose Tight,£75.00,"32, 33, 34, 36","Black, Blue, Red",MP09,"It’s not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.,• Breathable stretch organic cotton/spandex.,• Compression fit,• Hidden key pocket,• Elastic waist with internal drawcord.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp09-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Erin Recommends|Clothing,Leah Yoga Top,£39.00,"XS, S, M, L, XL","Orange, Purple, White",WT05,"The Leah Yoga Top offers a practical, comfortable upper that will not compromise your style. Body hugging fit and interior shelf bra make it suitable for active or leisure pursuits.,• Blue heather rouched tank top.,• Camisole tank top.,• Banding and shirring details.,• Body hugging fit.,• Contrast topstitch.,• Interior shelf bra with shapewear technology.,• 65% Polyester 35% Cotton.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt05-purple_main-600x744.jpg
Home/Clothing/Men/Tops/Jackets,Lando Gym Jacket,£99.00,"XS, S, M, L, XL","Blue, Gray, Green",MJ08,"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you’re plugged in when working out.,• Gray polyester/spandex full zip jacket with orange lining. ,• Right pocket device storage.,• Cocona® performance fabric. ,• Machine wash/dry.",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj08-gray_main-600x744.jpg
Home/Clothing/Men/Tops/Jackets|Clothing/Collections/Eco Friendly|Clothing,Kenobi Trail Jacket,£47.00,"XS, S, M, L, XL","Black, Blue, Purple",MJ04,"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.,• Black 1/4 zip pullover with royal zipper. ,• Adjustable hood and sleeve cuffs. ,• Machine wash/air dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj04-black_main-600x744.jpg
Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing,Layla Tee,£29.00,"XS, S, M, L, XL","Blue, Green, Red",WS04,"Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.,• Teal tee.,• Long back hem.,• Dropped shoulders.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ws04-green_main-600x744.jpg
